Local time,Open,High,Low,Close,Volume
04.05.2003 05:00:00.000 GMT+0800,118.990,118.990,118.990,118.990,0
05.05.2003 05:00:00.000 GMT+0800,118.990,119.070,118.471,118.653,563551.1134
06.05.2003 05:00:00.000 GMT+0800,118.641,118.771,117.300,117.550,567318.3076999999
07.05.2003 05:00:00.000 GMT+0800,117.506,117.848,116.062,116.353,562770.3985
08.05.2003 05:00:00.000 GMT+0800,116.361,116.979,115.950,116.873,565066.5899
09.05.2003 05:00:00.000 GMT+0800,116.855,117.626,116.810,117.201,565239.7001
10.05.2003 05:00:00.000 GMT+0800,117.201,117.201,117.201,117.201,0
11.05.2003 05:00:00.000 GMT+0800,117.201,117.201,117.201,117.201,0
12.05.2003 05:00:00.000 GMT+0800,117.296,117.296,116.318,117.075,568494.0018999999
13.05.2003 05:00:00.000 GMT+0800,117.063,117.548,116.352,116.611,566359.6035
14.05.2003 05:00:00.000 GMT+0800,116.604,116.858,115.592,116.210,562851.5996
15.05.2003 05:00:00.000 GMT+0800,116.193,116.565,115.292,116.565,565179.2041000001
16.05.2003 05:00:00.000 GMT+0800,116.588,116.616,115.788,115.948,560422.2021
17.05.2003 05:00:00.000 GMT+0800,115.948,115.948,115.948,115.948,0
18.05.2003 05:00:00.000 GMT+0800,115.948,115.948,115.948,115.948,0
19.05.2003 05:00:00.000 GMT+0800,115.628,117.455,115.040,117.325,568644.4034
20.05.2003 05:00:00.000 GMT+0800,117.289,117.397,116.585,116.706,560665.5
21.05.2003 05:00:00.000 GMT+0800,116.730,117.523,116.499,117.267,572869.1954000001
22.05.2003 05:00:00.000 GMT+0800,117.266,117.776,116.898,117.226,572203.1914
23.05.2003 05:00:00.000 GMT+0800,117.223,117.433,116.740,116.871,564114.1005000001
24.05.2003 05:00:00.000 GMT+0800,116.871,116.871,116.871,116.871,0
25.05.2003 05:00:00.000 GMT+0800,116.871,116.871,116.871,116.871,0
26.05.2003 05:00:00.000 GMT+0800,116.813,117.387,116.669,116.841,565039.0928000001
27.05.2003 05:00:00.000 GMT+0800,116.836,117.317,116.180,117.279,574499.003
28.05.2003 05:00:00.000 GMT+0800,117.283,118.900,116.933,118.689,566670.9004
29.05.2003 05:00:00.000 GMT+0800,118.680,119.144,117.903,118.272,564631.6944
30.05.2003 05:00:00.000 GMT+0800,118.233,119.626,117.912,119.333,566889.3984
31.05.2003 05:00:00.000 GMT+0800,119.333,119.333,119.333,119.333,0
01.06.2003 05:00:00.000 GMT+0800,119.333,119.333,119.293,119.293,0
02.06.2003 05:00:00.000 GMT+0800,119.571,119.645,118.313,118.560,515332.30369999993
03.06.2003 05:00:00.000 GMT+0800,118.537,119.335,118.283,119.165,565621.9052000002
04.06.2003 05:00:00.000 GMT+0800,119.166,119.377,118.343,118.818,569218.4892999999
05.06.2003 05:00:00.000 GMT+0800,118.810,118.942,117.352,117.756,576964.3097
06.06.2003 05:00:00.000 GMT+0800,117.711,118.929,117.563,118.715,563083.9961999999
07.06.2003 05:00:00.000 GMT+0800,118.715,118.715,118.715,118.715,0
08.06.2003 05:00:00.000 GMT+0800,118.715,118.715,118.715,118.715,0
09.06.2003 05:00:00.000 GMT+0800,118.687,118.782,117.793,118.187,564556.1943
10.06.2003 05:00:00.000 GMT+0800,118.207,118.379,117.536,117.798,566326.3985000001
11.06.2003 05:00:00.000 GMT+0800,117.848,118.114,117.489,117.692,562637.3057
12.06.2003 05:00:00.000 GMT+0800,117.692,117.952,117.458,117.593,563805.7001
13.06.2003 05:00:00.000 GMT+0800,117.637,117.881,117.164,117.507,560752.6982999999
14.06.2003 05:00:00.000 GMT+0800,117.507,117.507,117.507,117.507,0
15.06.2003 05:00:00.000 GMT+0800,117.507,117.507,117.507,117.507,0
16.06.2003 05:00:00.000 GMT+0800,117.377,117.785,117.153,117.617,558559.0977
17.06.2003 05:00:00.000 GMT+0800,117.622,118.398,117.428,118.131,572288.2987999999
18.06.2003 05:00:00.000 GMT+0800,118.113,118.691,117.730,117.805,565051.6015999999
19.06.2003 05:00:00.000 GMT+0800,117.798,119.094,117.754,118.279,563789.4064000001
20.06.2003 05:00:00.000 GMT+0800,118.313,118.633,118.003,118.318,562698.6954
21.06.2003 05:00:00.000 GMT+0800,118.318,118.318,118.318,118.318,0
22.06.2003 05:00:00.000 GMT+0800,118.318,118.318,118.318,118.318,0
23.06.2003 05:00:00.000 GMT+0800,118.414,118.612,117.461,117.676,566153.0049
24.06.2003 05:00:00.000 GMT+0800,117.637,118.080,117.562,117.935,563787.2022000002
25.06.2003 05:00:00.000 GMT+0800,117.959,118.148,117.317,117.970,570492.7988000001
26.06.2003 05:00:00.000 GMT+0800,117.950,119.450,117.892,119.400,561584.5020000001
27.06.2003 05:00:00.000 GMT+0800,119.382,120.064,119.162,119.669,567860.3037
28.06.2003 05:00:00.000 GMT+0800,119.669,119.669,119.669,119.669,0
29.06.2003 05:00:00.000 GMT+0800,119.669,119.669,119.669,119.669,0
30.06.2003 05:00:00.000 GMT+0800,119.607,120.263,119.559,119.733,554436.1024999999
01.07.2003 05:00:00.000 GMT+0800,119.720,119.966,119.015,119.443,564505.5946000001
02.07.2003 05:00:00.000 GMT+0800,119.415,119.470,117.849,118.018,558526.3975
03.07.2003 05:00:00.000 GMT+0800,118.039,118.644,117.863,118.216,566308.1094000001
04.07.2003 05:00:00.000 GMT+0800,118.209,118.511,117.956,118.143,565542.8993
05.07.2003 05:00:00.000 GMT+0800,118.143,118.143,118.143,118.143,0
06.07.2003 05:00:00.000 GMT+0800,118.143,118.143,118.143,118.143,0
07.07.2003 05:00:00.000 GMT+0800,118.009,118.316,117.817,118.172,562905.5029
08.07.2003 05:00:00.000 GMT+0800,118.176,118.686,117.600,118.223,568036.2969
09.07.2003 05:00:00.000 GMT+0800,118.223,118.452,117.590,117.741,568433.5077999999
10.07.2003 05:00:00.000 GMT+0800,117.751,118.040,117.367,117.600,569789.5079
11.07.2003 05:00:00.000 GMT+0800,117.564,118.005,117.533,117.685,565319.2938999999
12.07.2003 05:00:00.000 GMT+0800,117.685,117.685,117.685,117.685,0
13.07.2003 05:00:00.000 GMT+0800,117.685,117.685,117.685,117.685,0
14.07.2003 05:00:00.000 GMT+0800,117.792,117.845,117.297,117.638,561290.6982
15.07.2003 05:00:00.000 GMT+0800,117.648,117.929,116.675,117.857,568186.9971
16.07.2003 05:00:00.000 GMT+0800,117.862,118.679,117.772,118.183,564746.5977000002
17.07.2003 05:00:00.000 GMT+0800,118.179,118.969,117.867,118.783,562705.7051
18.07.2003 05:00:00.000 GMT+0800,118.766,119.254,118.237,118.404,565500.0986
19.07.2003 05:00:00.000 GMT+0800,118.404,118.404,118.404,118.404,0
20.07.2003 05:00:00.000 GMT+0800,118.404,118.404,118.404,118.404,0
21.07.2003 05:00:00.000 GMT+0800,118.524,118.797,118.228,118.485,563075.0996000001
22.07.2003 05:00:00.000 GMT+0800,118.470,119.419,118.394,119.113,553094.7997999999
23.07.2003 05:00:00.000 GMT+0800,119.086,119.160,118.592,118.902,560711.5957000001
24.07.2003 05:00:00.000 GMT+0800,118.861,119.318,118.524,118.949,560779.4970999999
25.07.2003 05:00:00.000 GMT+0800,118.920,119.301,118.534,118.876,565087.9922000001
26.07.2003 05:00:00.000 GMT+0800,118.876,118.876,118.876,118.876,0
27.07.2003 05:00:00.000 GMT+0800,118.876,118.876,118.876,118.876,0
28.07.2003 05:00:00.000 GMT+0800,119.276,119.628,118.777,119.412,566113.5009
29.07.2003 05:00:00.000 GMT+0800,119.421,119.946,119.083,119.929,565427.79
30.07.2003 05:00:00.000 GMT+0800,119.864,120.751,119.593,120.265,565982.9942000001
31.07.2003 05:00:00.000 GMT+0800,120.278,120.630,119.724,120.557,561450.0107999999
01.08.2003 05:00:00.000 GMT+0800,120.568,120.704,119.778,120.014,547730.8047999999
02.08.2003 05:00:00.000 GMT+0800,120.014,120.014,120.014,120.014,0
03.08.2003 05:00:00.000 GMT+0800,120.014,120.014,120.014,120.014,0
04.08.2003 05:00:00.000 GMT+0800,120.178,120.596,119.653,120.349,562136.1982999999
05.08.2003 05:00:00.000 GMT+0800,120.341,120.627,119.723,119.846,558437.9053
06.08.2003 05:00:00.000 GMT+0800,119.846,120.432,119.690,120.276,570762.0040000001
07.08.2003 05:00:00.000 GMT+0800,120.266,120.292,118.805,118.971,570520.4970999999
08.08.2003 05:00:00.000 GMT+0800,118.973,119.266,118.806,118.988,362288.7958999999
09.08.2003 05:00:00.000 GMT+0800,118.988,118.988,118.988,118.988,0
10.08.2003 05:00:00.000 GMT+0800,118.988,118.988,118.988,118.988,0
11.08.2003 05:00:00.000 GMT+0800,119.070,119.105,118.170,118.585,561808.5976000001
12.08.2003 05:00:00.000 GMT+0800,118.591,118.765,118.354,118.736,599864.6963
13.08.2003 05:00:00.000 GMT+0800,118.723,119.466,118.497,119.133,602698.3037000002
14.08.2003 05:00:00.000 GMT+0800,119.095,119.673,118.887,119.143,596015.2012
15.08.2003 05:00:00.000 GMT+0800,119.115,119.459,118.746,119.213,577427.1967
16.08.2003 05:00:00.000 GMT+0800,119.213,119.213,119.213,119.213,0
17.08.2003 05:00:00.000 GMT+0800,119.213,119.213,119.213,119.213,0
18.08.2003 05:00:00.000 GMT+0800,119.202,119.763,119.057,119.452,587675.3965
19.08.2003 05:00:00.000 GMT+0800,119.458,119.782,118.226,118.365,602297.0029000001
20.08.2003 05:00:00.000 GMT+0800,118.347,118.768,117.771,118.073,610071.1894
21.08.2003 05:00:00.000 GMT+0800,118.142,118.221,117.522,117.803,600482.1006
22.08.2003 05:00:00.000 GMT+0800,117.824,118.045,117.297,117.540,590483.2967999999
23.08.2003 05:00:00.000 GMT+0800,117.540,117.540,117.540,117.540,0
24.08.2003 05:00:00.000 GMT+0800,117.540,117.540,117.540,117.540,0
25.08.2003 05:00:00.000 GMT+0800,117.637,117.692,117.132,117.335,591661.297
26.08.2003 05:00:00.000 GMT+0800,117.322,117.773,117.158,117.350,610896.0929000002
27.08.2003 05:00:00.000 GMT+0800,117.340,118.004,117.277,117.432,606062.2931
28.08.2003 05:00:00.000 GMT+0800,117.423,117.630,117.203,117.313,608944.5957999999
29.08.2003 05:00:00.000 GMT+0800,117.313,117.415,116.146,116.922,601150.8077000001
30.08.2003 05:00:00.000 GMT+0800,116.922,116.922,116.922,116.922,0
