Local time,Open,High,Low,Close,Volume
04.05.2003 05:00:00.000 GMT+0800,118.940,118.940,118.940,118.940,0
05.05.2003 05:00:00.000 GMT+0800,118.940,119.046,118.461,118.603,592866.9023999999
06.05.2003 05:00:00.000 GMT+0800,118.591,118.751,117.290,117.500,581706.9990000001
07.05.2003 05:00:00.000 GMT+0800,117.456,117.830,116.052,116.303,584496.212
08.05.2003 05:00:00.000 GMT+0800,116.311,116.969,115.940,116.823,588236.7032
09.05.2003 05:00:00.000 GMT+0800,116.835,117.612,116.794,117.151,583132.8985
10.05.2003 05:00:00.000 GMT+0800,117.151,117.151,117.151,117.151,0
11.05.2003 05:00:00.000 GMT+0800,117.151,117.151,117.151,117.151,0
12.05.2003 05:00:00.000 GMT+0800,117.286,117.286,116.304,117.025,586660.2950000002
13.05.2003 05:00:00.000 GMT+0800,117.053,117.528,116.338,116.561,584984.3906
14.05.2003 05:00:00.000 GMT+0800,116.554,116.837,115.557,116.160,586464.8975
15.05.2003 05:00:00.000 GMT+0800,116.173,116.525,115.282,116.515,585585.1094
16.05.2003 05:00:00.000 GMT+0800,116.538,116.596,115.768,115.898,586008.4990000001
17.05.2003 05:00:00.000 GMT+0800,115.898,115.898,115.898,115.898,0
18.05.2003 05:00:00.000 GMT+0800,115.898,115.898,115.898,115.898,0
19.05.2003 05:00:00.000 GMT+0800,115.578,117.445,115.030,117.275,584904.1971999999
20.05.2003 05:00:00.000 GMT+0800,117.239,117.382,116.565,116.656,584088.1982999999
21.05.2003 05:00:00.000 GMT+0800,116.710,117.507,116.479,117.217,588101.2012
22.05.2003 05:00:00.000 GMT+0800,117.216,117.752,116.878,117.176,582177.7939999999
23.05.2003 05:00:00.000 GMT+0800,117.173,117.413,116.720,116.821,590246.4014
24.05.2003 05:00:00.000 GMT+0800,116.821,116.821,116.821,116.821,0
25.05.2003 05:00:00.000 GMT+0800,116.821,116.821,116.821,116.821,0
26.05.2003 05:00:00.000 GMT+0800,116.793,117.367,116.644,116.791,583042.2022
27.05.2003 05:00:00.000 GMT+0800,116.816,117.288,116.170,117.229,588924.6904000001
28.05.2003 05:00:00.000 GMT+0800,117.233,118.890,116.923,118.639,591922.0079000001
29.05.2003 05:00:00.000 GMT+0800,118.630,119.125,117.893,118.222,587138.4025
30.05.2003 05:00:00.000 GMT+0800,118.223,119.616,117.902,119.283,580397.7948999999
31.05.2003 05:00:00.000 GMT+0800,119.283,119.283,119.283,119.283,0
01.06.2003 05:00:00.000 GMT+0800,119.283,119.283,119.267,119.267,0
02.06.2003 05:00:00.000 GMT+0800,119.521,119.631,118.303,118.510,539129.5887999999
